model,repeat_index,iteration,carried_forward,motor_distance_steps
gpt_5_6_sol,2,6,False,2952.772426043023
gpt_5_6_sol,2,7,False,3280.6805696379524
gpt_5_6_sol,2,8,False,2912.0207760247868
gpt_5_6_sol,2,9,False,1084.1439018875676
gpt_5_6_sol,2,10,False,2920.1486263544875
gpt_5_6_sol,2,11,False,3195.4448829544845
gpt_5_6_sol,2,12,False,1221.1748441562331
gpt_5_6_sol,2,13,False,2219.745030403267
gpt_5_6_sol,2,14,False,1513.560372102811
gpt_5_6_sol,2,15,False,1092.549770033384
gpt_5_6_sol,2,16,False,1791.1630299891744
gpt_5_6_sol,2,17,False,235.0914715594762
gpt_5_6_sol,2,18,False,235.0914715594762
gpt_5_6_sol,2,19,True,235.0914715594762
gpt_5_6_sol,2,20,True,235.0914715594762
gpt_5_6_sol,2,21,True,235.0914715594762
gpt_5_6_sol,2,22,True,235.0914715594762
gpt_5_6_sol,2,23,True,235.0914715594762
gpt_5_6_sol,2,24,True,235.0914715594762
gpt_5_6_sol,2,25,True,235.0914715594762
gpt_5_6_sol,2,26,True,235.0914715594762
gpt_5_6_sol,2,27,True,235.0914715594762
gpt_5_6_sol,2,28,True,235.0914715594762
gpt_5_6_sol,2,29,True,235.0914715594762
gpt_5_6_sol,2,30,True,235.0914715594762
gpt_5_6_sol,2,31,True,235.0914715594762
gpt_5_6_sol,2,32,True,235.0914715594762
gpt_5_6_sol,2,33,True,235.0914715594762
gpt_5_6_sol,2,34,True,235.0914715594762
gpt_5_6_sol,2,35,True,235.0914715594762
gpt_5_6_sol,2,36,True,235.0914715594762
gpt_5_6_sol,2,37,True,235.0914715594762
gpt_5_6_sol,2,38,True,235.0914715594762
gpt_5_6_sol,2,39,True,235.0914715594762
gpt_5_6_sol,2,40,True,235.0914715594762
gpt_5_6_sol,2,41,True,235.0914715594762
gpt_5_6_sol,2,42,True,235.0914715594762
gpt_5_6_sol,2,43,True,235.0914715594762
gpt_5_6_sol,2,44,True,235.0914715594762
gpt_5_6_sol,2,45,True,235.0914715594762
gpt_5_6_sol,2,46,True,235.0914715594762
gpt_5_6_sol,2,47,True,235.0914715594762
gpt_5_6_sol,2,48,True,235.0914715594762
gpt_5_6_sol,2,49,True,235.0914715594762
gpt_5_6_sol,2,50,True,235.0914715594762
gpt_5_6_sol,2,51,True,235.0914715594762
gpt_5_6_sol,3,0,False,2313.4757400932476
gpt_5_6_sol,3,1,False,4301.1823955745
gpt_5_6_sol,3,2,False,3803.0474622334127
gpt_5_6_sol,3,3,False,3305.4757600079297
gpt_5_6_sol,3,4,False,793.8324760300501
gpt_5_6_sol,3,5,False,1525.834198070026
gpt_5_6_sol,3,6,False,965.4895131486411
gpt_5_6_sol,3,7,False,993.000503524545
gpt_5_6_sol,3,8,False,1890.1454970451348
gpt_5_6_sol,3,9,False,721.2835780745323
gpt_5_6_sol,3,10,False,139.46325680981354
gpt_5_6_sol,3,11,False,1305.4692642877503
gpt_5_6_sol,3,12,False,1164.2379481875687
gpt_5_6_sol,3,13,False,943.3186100146652
gpt_5_6_sol,3,14,False,943.3186100146652
gpt_5_6_sol,3,15,True,943.3186100146652
gpt_5_6_sol,3,16,True,943.3186100146652
gpt_5_6_sol,3,17,True,943.3186100146652
gpt_5_6_sol,3,18,True,943.3186100146652
gpt_5_6_sol,3,19,True,943.3186100146652
gpt_5_6_sol,3,20,True,943.3186100146652
gpt_5_6_sol,3,21,True,943.3186100146652
gpt_5_6_sol,3,22,True,943.3186100146652
gpt_5_6_sol,3,23,True,943.3186100146652
gpt_5_6_sol,3,24,True,943.3186100146652
gpt_5_6_sol,3,25,True,943.3186100146652
gpt_5_6_sol,3,26,True,943.3186100146652
gpt_5_6_sol,3,27,True,943.3186100146652
gpt_5_6_sol,3,28,True,943.3186100146652
gpt_5_6_sol,3,29,True,943.3186100146652
gpt_5_6_sol,3,30,True,943.3186100146652
