model,iteration,repeat_count,carried_forward_count,motor_distance_mean,motor_distance_std
gemini_3_5_flash,44,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,45,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,46,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,47,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,48,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,49,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,50,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,51,10,10,1648.7756984874188,3520.312832701934
qwen3_vl_32b_instruct,0,10,0,2768.011159009592,781.4585533890221
qwen3_vl_32b_instruct,1,10,0,9259.542634789384,2390.807788760411
qwen3_vl_32b_instruct,2,10,0,6644.803608027205,2544.9471749044314
qwen3_vl_32b_instruct,3,10,0,5011.4951240389855,1745.0922044196059
qwen3_vl_32b_instruct,4,10,0,5384.973363559875,1543.6455313282283
qwen3_vl_32b_instruct,5,10,0,4435.749954564547,3138.0138517824403
qwen3_vl_32b_instruct,6,10,1,3885.6321855311166,2829.224082630878
qwen3_vl_32b_instruct,7,10,1,4610.791225244604,3952.8259619904793
qwen3_vl_32b_instruct,8,10,1,3806.393177434448,2903.374756455455
qwen3_vl_32b_instruct,9,10,2,3302.732473192266,2894.7641835488075
qwen3_vl_32b_instruct,10,10,4,3741.2583056784506,2751.444426759638
qwen3_vl_32b_instruct,11,10,5,3235.623065463157,2878.5102007506134
qwen3_vl_32b_instruct,12,10,6,3811.4353414314237,3032.134586958597
qwen3_vl_32b_instruct,13,10,7,3387.5072026831776,2808.9322708043733
qwen3_vl_32b_instruct,14,10,7,3412.3634783927228,2786.098624586701
qwen3_vl_32b_instruct,15,10,7,3357.9239203074417,2786.1168607195336
qwen3_vl_32b_instruct,16,10,7,3469.3713861041206,2763.6846751477688
qwen3_vl_32b_instruct,17,10,9,3258.2942505142614,2836.236566897468
qwen3_vl_32b_instruct,18,10,9,3449.150922105793,2763.744122369096
qwen3_vl_32b_instruct,19,10,9,3300.511203952736,2809.2152507580518
qwen3_vl_32b_instruct,20,10,9,3469.3713861041206,2763.6846751477688
qwen3_vl_32b_instruct,21,10,9,3258.2942505142614,2836.236566897468
qwen3_vl_32b_instruct,22,10,9,3449.150922105793,2763.744122369096
qwen3_vl_32b_instruct,23,10,9,3300.511203952736,2809.2152507580518
qwen3_vl_32b_instruct,24,10,9,3469.3713861041206,2763.6846751477688
qwen3_vl_32b_instruct,25,10,9,3258.2942505142614,2836.236566897468
qwen3_vl_32b_instruct,26,10,9,3449.150922105793,2763.744122369096
qwen3_vl_32b_instruct,27,10,9,3300.511203952736,2809.2152507580518
qwen3_vl_32b_instruct,28,10,9,3469.3713861041206,2763.6846751477688
qwen3_vl_32b_instruct,29,10,9,3258.2942505142614,2836.236566897468
qwen3_vl_32b_instruct,30,10,9,3449.150922105793,2763.744122369096
qwen3_vl_32b_instruct,31,10,9,3300.511203952736,2809.2152507580518
qwen3_vl_32b_instruct,32,10,9,3469.3713861041206,2763.6846751477688
qwen3_vl_32b_instruct,33,10,9,3258.2942505142614,2836.236566897468
qwen3_vl_32b_instruct,34,10,9,3449.150922105793,2763.744122369096
qwen3_vl_32b_instruct,35,10,9,3300.511203952736,2809.2152507580518
qwen3_vl_32b_instruct,36,10,9,3469.3713861041206,2763.6846751477688
qwen3_vl_32b_instruct,37,10,9,3258.2942505142614,2836.236566897468
qwen3_vl_32b_instruct,38,10,9,3449.150922105793,2763.744122369096
qwen3_vl_32b_instruct,39,10,9,3300.511203952736,2809.2152507580518
qwen3_vl_32b_instruct,40,10,9,3469.3713861041206,2763.6846751477688
qwen3_vl_32b_instruct,41,10,9,3258.2942505142614,2836.236566897468
qwen3_vl_32b_instruct,42,10,9,3449.150922105793,2763.744122369096
qwen3_vl_32b_instruct,43,10,9,3300.511203952736,2809.2152507580518
qwen3_vl_32b_instruct,44,10,9,3469.3713861041206,2763.6846751477688
qwen3_vl_32b_instruct,45,10,9,3258.2942505142614,2836.236566897468
qwen3_vl_32b_instruct,46,10,9,3449.150922105793,2763.744122369096
qwen3_vl_32b_instruct,47,10,9,3300.511203952736,2809.2152507580518
qwen3_vl_32b_instruct,48,10,9,3469.3713861041206,2763.6846751477688
qwen3_vl_32b_instruct,49,10,9,3258.2942505142614,2836.236566897468
qwen3_vl_32b_instruct,50,10,9,3345.413879935861,2787.2131585216257
qwen3_vl_32b_instruct,51,10,10,3345.413879935861,2787.2131585216257
