model_key,model_label,repeat_index,iteration,carried_forward,center_error,legacy_normalized_rms_error,image_width_px,image_height_px
gpt_5_6_sol,GPT-5.6 SOL,0,0,False,1620.7150559954848,1.005844930963315,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,1,False,1819.983314446858,1.0948827161925774,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,2,False,1456.268844090538,0.9433182921337825,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,3,False,1275.4217524679257,0.7570851846299703,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,4,False,1151.0317509723984,0.7245255438230707,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,5,False,974.9190826123347,0.6539034688664143,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,6,False,872.2450696091398,0.6354644591914874,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,7,False,1116.586722361072,0.8145396577677049,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,8,False,152.83130494208973,0.12590800834962582,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,9,False,385.9607167043087,0.28284989860462995,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,10,False,393.4872293953863,0.28819938588610744,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,11,False,427.8411496226665,0.36004748983836454,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,12,False,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,13,False,396.4320142950181,0.27801972830915456,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,14,False,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,15,False,387.32551180432336,0.2741058131302511,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,16,False,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,17,False,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,18,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,19,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,20,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,21,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,22,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,23,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,24,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,25,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,26,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,27,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,28,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,29,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,30,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,31,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,32,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,33,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,34,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,35,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,36,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,37,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,38,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,39,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,40,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,41,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,42,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,43,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,44,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,45,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,46,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,47,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,48,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,49,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,50,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,51,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,52,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,53,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,54,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,55,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,56,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,57,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,58,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,59,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,0,60,True,36.09544336238291,0.02217836348101706,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,0,False,870.0757477554594,0.795061926940027,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,1,False,1037.1346339902439,0.834507034390477,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,2,False,873.089181023015,0.7956220566916359,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,3,False,1104.582572522876,0.9709638351736471,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,4,False,725.2342173006606,0.7290576304383974,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,5,False,777.6012705177004,0.7475830358737607,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,6,False,621.5395041475401,0.723315635139905,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,7,False,421.85774333093366,0.4248302297494324,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,8,False,318.5251639883427,0.2385874154873965,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,9,False,800.1813028024076,0.5813497021596516,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,10,False,362.6841087048371,0.2686969654673375,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,11,False,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,12,False,270.9728245669012,0.17338229349920498,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,13,False,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,14,False,308.0805996353443,0.21558433875827915,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,15,False,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,16,False,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,17,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,18,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,19,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,20,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,21,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,22,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,23,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,24,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,25,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,26,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,27,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,28,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,29,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,30,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,31,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,32,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,33,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,34,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,35,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,36,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,37,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,38,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,39,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,40,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,41,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,42,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,43,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,44,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,45,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,46,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,47,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,48,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,49,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,50,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,51,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,52,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,53,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,54,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,55,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,56,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,57,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,58,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,59,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,1,60,True,70.18468218766797,0.057721200263373275,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,0,False,2111.990620413575,1.3046541134769998,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,1,False,2356.81207008334,1.4468126047382281,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,2,False,1867.2236557372526,1.1730931380746101,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,3,False,1378.1136113287514,0.9590132203338053,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,4,False,952.5348465685836,0.8567186719037095,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,5,False,1034.6189530526499,0.8937823550855284,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,6,False,789.2425217048165,0.844047071318498,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,7,False,658.0245787114986,0.7829066697572921,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,8,False,889.4996805907803,1.0990203895972328,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,9,False,1127.3814925944137,1.4181028395280662,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,10,False,443.7383296938221,0.4757171153927142,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,11,False,292.0023176155521,0.21894651797136952,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,12,False,322.8907740942439,0.2789897222356418,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,13,False,264.37386751059154,0.17721841172805355,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,14,False,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,15,False,143.12899912903043,0.0908274601232744,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,16,False,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,17,False,175.04482373948667,0.10939025008859338,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,18,False,342.4515268980857,0.23029387878631297,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,19,False,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,20,False,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,21,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,22,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,23,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,24,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,25,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,26,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,27,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,28,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,29,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,30,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,31,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,32,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,33,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,34,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,35,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,36,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,37,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,38,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,39,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,40,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,41,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,42,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,43,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,44,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,45,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,46,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,47,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,48,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,49,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,50,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,51,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,52,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,53,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,54,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,55,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,56,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,57,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,58,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,59,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,2,60,True,58.614396436085286,0.03675490610034258,1920,1080
gpt_5_6_sol,GPT-5.6 SOL,3,0,False,2356.9401553612493,1.4167901729145367,1920,1080
